"school_name","country","facebook_url","fb_activity","instagram_url","linkedin_url","x_url","email_found_incidentally","confidence","notes"
"青葉桐の花保育園","Japan","https://www.facebook.com/pages/青葉桐の花保育園/105118987611541/","","","","","","high","matched by exact name, FB page found via search"
"音羽の森保育園","Japan","https://www.facebook.com/pages/音羽の森保育園/301471960582656/","","","","","","high","matched by exact name+city (Kawagoe), FB page confirmed in search results"
"音羽の森新座保育園","Japan","","","","","","","none","distinct facility from 音羽の森保育園 (Niiza branch); search only surfaced the main Kawagoe FB page, no dedicated Niiza FB page found"
"音羽の森第二保育園","Japan","","","","","","","none","distinct facility (Daini/second location); search only surfaced main 音羽の森保育園 FB page, no dedicated FB page found for this branch"
"風の子保育園","Japan","","","","","","","none","ambiguous: two similarly-named FB pages found, one in Itoshima (target) one in Nagano; could not confirm which was correct without fetching pages, marking as not confirmed"
"風浪宮しらさぎ幼稚園","Japan","","","","","","","none","no FB presence found matching name+city; only unrelated same-word-fragment schools appeared"
"風浪宮保育園","Japan","","","","","","","none","no FB presence found in search results; only official website and directory listings"
"飯盛保育園","Japan","https://www.facebook.com/pages/飯盛保育園/231597246948338/","","","","","","medium","FB page found matching name but ward/location not confirmed in snippet"
"首里カトリック幼稚園","Japan","https://www.facebook.com/pages/首里カトリック幼稚園/100415670022982/","","","","","","high","matched by exact name, FB page found via search"
"香椎浜幼稚園","Japan","","","","","","","none","no FB presence found; only directory/association listings appeared"
"馬橋保育園","Japan","","","","","","","none","no FB presence found, common name too generic; only directory listings and official site"
"高円寺りとるぱんぷきんず","Japan","","","","","","","none","no FB presence found in search results; only ward/directory listings"
"高千帆小百合幼稚園","Japan","","","","","","","none","no FB presence found; only prefecture govt and directory pages appeared"
"高屋幼稚園","Japan","https://www.facebook.com/pages/高屋幼稚園/549033678523618/","","","","","","medium","FB page found matching name but Higashi-Hiroshima location not confirmed in snippet"
"高槻マリアインマクラダ幼稚園","Japan","","","","","","","none","no FB presence found; official website and directory listings only"
"高津学院幼稚舎","Japan","https://www.facebook.com/kozugakuin/?locale=ja_JP","","","","","","high","matched by exact name, dedicated vanity-URL FB page found"
"高田カトリック幼稚園","Japan","","","","","","","none","no FB presence found; only official website and directory listings"
"高知聖母幼稚園","Japan","","","","","","","none","no FB presence found; only official website and directory listings"
"鳥栖カトリック幼稚園","Japan","","","","","","","none","no FB presence found; only city government and directory listings"
"鳳鳴こども園","Japan","","","","","","","none","no FB presence found; only official website and directory listings"
"鳴石保育園","Japan","","","","","","","none","no FB presence found; only city directory listings appeared"
"鳴門聖母幼稚園","Japan","https://www.facebook.com/pages/鳴門聖母幼稚園/649817735081894/","","","","","","high","matched by exact name, FB page found via search"
"鴨江幼稚園","Japan","https://www.facebook.com/pages/鴨江幼稚園/430059207016412/","","","","","","high","matched by exact name, FB page found via search"
"鶴見すずらん保育園","Japan","https://www.facebook.com/pages/鶴見すずらん保育園/507726849611424/","","","","","","high","matched by exact name, FB page found via search"
"鹿中保育園","Japan","","","","","","","none","no FB presence found; only city directory and official operator site"
"鹿屋カトリック幼稚園","Japan","","","","","","","none","no FB presence found; only city government and directory listings"
"鹿島田エンゼルホーム","Japan","","","","","","","none","no FB presence found; only directory listings and operator site (childtime.co.jp)"
"고수리 몬테소리어린이집 (Gosuri Montessori Daycare)","South Korea","","","","","","","none","no FB presence found; search surfaced other unrelated Montessori daycare FB pages, not this one"
"구립햇님몬테소리어린이집 (Gu-rip Haetnim Montessori Daycare)","South Korea","","","","","","","none","no FB presence found; only daycarekorea.com directory listings"
"그린몬테소리어린이집 (Green Montessori Daycare)","South Korea","","","","","","","none","no FB presence found; only daycarekorea.com directory and city site"
"로고스몬테소리 어린이집 (Logos Montessori Daycare)","South Korea","","","","","","","none","no FB presence found; only Seoul city facility info page"
"산성몬테소리어린이집 (Sanseong Montessori Daycare)","South Korea","","","","","","","none","no FB presence found; only Seoul city facility info page"
"숲속몬테소리어린이집 (Supsok Montessori Daycare)","South Korea","https://www.facebook.com/pages/숲속몬테소리어린이집/1132673476844425/","","","","","","high","matched by exact name, FB page found via search, location (Seodaemun/Yeonhui-dong) consistent with directory listing"
"아이몬테소리어린이집 (I Montessori Daycare)","South Korea","","","","","","","none","no FB presence found; common name, only directory listings for this and similarly-named daycares"
"역삼몬테소리어린이집 (Yeoksam Montessori Daycare)","South Korea","","","","","","","none","no FB presence found; only daycarekorea.com and Gangnam-gu directory listings"
"창원어린이집 (Changwon Daycare - Montessori-affiliated)","South Korea","","","","","","","none","no FB presence found for this specific daycare; only an unrelated LG전자창원어린이집 (LG Electronics Changwon Daycare) FB page appeared"
"청담몬테소리어린이집 (Cheongdam Montessori Daycare - separate facility from kindergarten above)","South Korea","","","","","","","none","no FB presence found for this daycare (Yeongdeungpo); search surfaced a distinct 청담몬테소리유치원 kindergarten site in Gangnam instead"
"ＭＯＭＯこどものいえ","Japan","","","","","","","none","no FB presence found; only city/museum unrelated FB pages appeared, common name too generic"
