school_name,country,facebook_url,fb_activity,instagram_url,linkedin_url,x_url,email_found_incidentally,confidence,notes
Roberts Academy,United States,https://www.facebook.com/TheRobertsAcademyOmaha/,,,,https://x.com/RobertsAcademy,,medium,"Snippet says located in Gretna NE (Omaha metro area) not Omaha proper; name+region match"
Redmond Children's Academy,United States,https://www.facebook.com/redmondchildrensacademy/,,,,,,high,"Website itself was the facebook.com URL"
Red Door Montessori,United States,,,,,,,low,"Lynnwood WA location closed 2019 per search snippets; only FB match found was for a different Red Door Montessori in Trim Ireland"
Radiant Montessori School,United States,https://www.facebook.com/radiantmontessorischool/,,https://www.instagram.com/radiantmontessori/,,,,high,"Maple Grove MN confirmed in snippet"
Petits Enfants Academy,United States,https://www.facebook.com/petitsenfantsacademy/,,,,,,medium,"Snippet lists this FB page under South Plainfield NJ not Metuchen; separate 'Petits Enfants School' page (facebook.com/petitsenfantsschool) is the Metuchen location - kept the Academy-named page per input school name"
Pebblecreek Montessori,United States,https://www.facebook.com/pebblecreek.montessori.3/,,https://www.instagram.com/pebblecreekmontessori/,https://www.linkedin.com/company/pebblecreek-montessori,,,high,"Plano TX confirmed, 481 likes"
Paty's Nest,United States,https://www.facebook.com/p/Patys-Nest-Newborn-Care-100057070375542/,,,,,,high,"Gresham OR confirmed"
Palm Harbor Montessori Academy,United States,https://www.facebook.com/PalmHarborMontessoriAcademy/,,,,,,high,"Palm Harbor FL confirmed, 1884 likes"
Owls Nest Child Care,United States,https://www.facebook.com/owlsnestcc/,,,,,owlsnestcc@gmail.com,high,"Burbank CA confirmed"
Odyssey Montessori,United States,https://m.facebook.com/100091812957565/,,,,,wlarue@odysseymontessori.net,medium,"Fredericksburg VA confirmed but school listed as CLOSED per Yelp Jan 2026 snippet"
North Atlantic Montessori School,United States,https://www.facebook.com/p/North-Atlantic-Montessori-School-100039029725443/,,,,,,high,"South Portland ME confirmed, 584 likes"
"New Children First, A Montessori Community",United States,https://www.facebook.com/ChildrenFirstAMontessoriCommunity/,,,,,,medium,"Snippet shows page as 'Children First, A Montessori Community' (not 'New Children First') at Stokesmont Rd Nashville TN - name variant but same address/school"
New Century Montessori Academy,United States,https://www.facebook.com/newcenturymontessoriacademy/,,,,,,high,"Garland TX confirmed, 980 likes"
Native Montessori Preschool,United States,,,,,,,low,"Part of Portland Public Schools Indian Education dept; no dedicated FB page found in snippets"
Mt. Sopris Montessori School,United States,https://www.facebook.com/mtsopris/,,,,,,medium,"Carbondale CO address matches (879 Euclid); short-handle page likely correct, a longer 'Mount-Sopris-Montessori-School' page also exists with fewer likes (39)"
Mountain State Montessori,United States,https://www.facebook.com/MountainStateMontessori/,,https://www.instagram.com/msm_wv/?hl=en,,,info@nrglc.org,high,"Fayetteville WV confirmed, 2408 likes"
Montgomery Montessori School,United States,,,,,,,low,"Multiple Montgomery Montessori Schools found (Huntingdon Valley PA, Cornwall NY, Skillman NJ) - no city given in input to disambiguate"
Montessori Schoolhouse,United States,https://www.facebook.com/MYMONTESSORISCHOOLHOUSESA/,,,,,,high,"San Antonio TX confirmed, address 10711 Dreamland Drive matches"
Montessori School of Lakewood,United States,,,,,,,low,"Multiple Lakewood Montessori schools found (Houston TX, Lee's Summit MO, Boise ID) - no matching city 'Lakewood' itself in snippets to confirm exact school"
Montessori School of Johns Island,United States,https://www.facebook.com/makinbutterflies/,,,,,,medium,"Charleston/Johns Island SC confirmed via address; FB page name 'makinbutterflies' differs from school name but content matches (African Landscapes post, school description)"
Montessori School of Evergreen – Marshdale,United States,https://www.facebook.com/mse.evergreen/,,https://www.instagram.com/montessorischoolofevergreen/,,,,medium,"Evergreen CO confirmed; snippet mentions Marshdale North campus at 6989 Highway 73; two FB pages exist (montessori.evergreen and mse.evergreen) - used the MSE handle"
Montessori School of Beaverton,United States,https://www.facebook.com/p/Montessori-School-of-Beaverton-100064001976908/,,,,,,medium,"Listed as Portland OR in snippet (msb.org website) rather than Beaverton but same school (msb.org = Montessori School of Beaverton)"
Montessori School at Ken Caryl,United States,,,,,,,low,"No dedicated FB page found; school may be closed per Yelp snippet"
Montessori Scholars Academy,United States,https://www.facebook.com/MontessoriScholars/,,https://www.instagram.com/montessorischolars_academy/,,,,high,"Alpharetta/Milton GA confirmed, 408 likes"
Montessori Preparatory Academy of Lee,United States,https://www.facebook.com/montessoriprepoflee/,,,,,,high,"Leesburg GA confirmed"
Montessori One – Westlake,United States,https://www.facebook.com/montessorioneofficial/,,,,,,high,"Westlake Village CA confirmed"
Montessori of Manhattan Beach,United States,https://www.facebook.com/MontessoriSchoolofManhattanBeach/,,https://www.instagram.com/montessorimb/,,,,high,"Manhattan Beach CA confirmed"
Montessori Learning House,United States,https://www.facebook.com/MontessoriLearningHouse/,,,,,,medium,"Monroe Twp NJ address matches (893 Cranbury-S River Rd); FB page content not verifiable beyond URL match"
Montessori Learning Center of Fort Walton Beach,United States,https://www.facebook.com/montessorifwb/,,,,,montessorifwb@gmail,high,"Fort Walton Beach FL confirmed, 1056 likes"
Montessori Learning Center of Park Ridge,United States,https://www.facebook.com/Dfishmlc/,,,,,,medium,"Park Ridge NJ confirmed via snippet title, though handle name differs from school name"
Montessori Kinder International School,United States,,,,,,,low,"No FB page found matching this exact name; several unrelated Cleveland OH/TN Montessori schools found but none matched 'Montessori Kinder International'"
Montessori International School of Bellevue,United States,https://www.facebook.com/montessoribellevue/,,,,,,high,"Bellevue WA confirmed, 516 likes"
Montessori in Motion,United States,https://www.facebook.com/p/Montessori-in-Motion-100063584380024/,,,,,,high,"University Place WA confirmed, 371 likes"
Montessori in Redlands,United States,https://www.facebook.com/montessoriinredlands/,,,,,,high,"Redlands CA confirmed, 955 likes"
Montessori Home Infant-Toddler Community,United States,,,,,,,low,"No dedicated FB page found for this exact program name in Orlando"
Montessori Fountainhead School,United States,https://www.facebook.com/montfs/,,,,,,high,"Charleston SC confirmed, 173 likes"
Montessori Escuela-Wayland Satellite,United States,https://www.facebook.com/montessoriescuela/,,,,,,medium,"Belmont MA confirmed as main location; input specifies Wayland satellite, same organization/page"
Montessori Educational Centers – La Vista,United States,,,,,,,low,"Cadence-operated location; no dedicated FB page found distinct from other Cadence Montessori pages in the search"
Montessori Educational Centers Inc,United States,https://www.facebook.com/HouseOfMontessoriOmaha/,,,,,,low,"Omaha NE has multiple Montessori Educational Centers-branded FB pages (House of Montessori, Infant House, Children's House) - none exactly named 'Montessori Educational Centers Inc' so confidence kept low"
Montessori del Sol,United States,,,,,,,low,"Only match found was Montessori del Sol in George Town, Cayman Islands (facebook.com/MontessoriDelSolCayman) - input says Georgetown but likely different Georgetown (US) location; not confirmed"
Montessori Children's House of North Forsyth,United States,https://www.facebook.com/Montessori-Childrens-House-of-North-Forsyth-495452323861099/,,,,,,high,"Cumming/Gainesville GA confirmed"
Montessori Children's House of Denver,United States,https://www.facebook.com/mchddragonfly/,,https://www.instagram.com/mchddragonfly/,,,,high,"Denver CO confirmed, 823 likes, mchdenver.org matches"
Montessori Children's House of Denver – Park Hill,United States,https://www.facebook.com/mchddragonfly/,,https://www.instagram.com/mchddragonfly/,,,,medium,"Same organization/page as main Denver location per mchdenver.org; no separate Park Hill-specific FB page found"
Montessori Children's House of Denver – Stapleton,United States,https://www.facebook.com/mchddragonfly/,,https://www.instagram.com/mchddragonfly/,,,,medium,"Same organization/page as main Denver location per mchdenver.org; no separate Stapleton-specific FB page found"
