"school_name","country","facebook_url","fb_activity","instagram_url","linkedin_url","x_url","email_found_incidentally","confidence","notes"
"Busy Bumbles Nursery School","Kenya","https://www.facebook.com/p/Busy-Bumbles-Nursery-School-100063703068091/","active, 953 likes","","","","","high","matches name+city Eldoret"
"CA Montessori Children's Center (NY)","United States","https://www.facebook.com/pages/Ca%20Montessori%20Children%27S%20Center/749192391826432/","","","","","","high","matches name; Islandia NY"
"CA Montessori Children's Center (VA)","United States","","","","","","","none","Herndon VA: only found different chain (Montessori Children's Center Group, montessoriccgroup.com) at same city; no confirmed FB page for CA Montessori Children's Center specifically"
"CEMAC - Comunidad Educativa Montessori AC","Mexico","https://www.facebook.com/CEMACComunidadEducativaMontessori/?locale=es_LA","active, 9502 likes","","","","","high","Mexico City; Xochimilco not explicit in snippet but org matches exactly"
"CHI Montessori","United States","https://www.facebook.com/p/CHI-Montessori-Academy-100067463468666/","","","","","","high","CHI Montessori Academy, Atlanta GA, SW Atlanta"
"CIMMA Montessori","Mexico","https://www.facebook.com/CimmaMontessoriQueretaro/","","","","","","high","matches name+city Queretaro"
"Calli Montessori school Queretaro","Mexico","https://www.facebook.com/ColegioCalliMontessoriJuriquilla/?locale=es_LA","","","","","","high","Juriquilla is a district of Santiago de Queretaro"
"Campus Montessori School","Argentina","https://www.facebook.com/campusmontessoriok/","","https://www.instagram.com/campusmontessorischool/?hl=es","","","","high","Benavidez, Buenos Aires - confirmed via fundacionmontessori.org listing"
"Campus de Educação Integrada","Brazil","https://www.facebook.com/pages/Campus-de-Educação-Integrada/1131479570202741","","","","","","medium","matches name+city Jequié BA"
"Carlisle Montessori School","United States","https://www.facebook.com/CarlisleMontessoriSchool/","active, 926 likes","","","","","high","Carlisle Montessori School of Buckhead, Atlanta GA"
"Carmel Montessori Schools,Inc.","United States","","","","","","","none","Carmel, Indiana - found Indiana Montessori Academy + Clay Montessori School (different names) at same city; no FB confirmed for Carmel Montessori Schools Inc specifically"
"Carmen Pilar Santos","United States","https://www.facebook.com/emcpsc30502/","active, 2036 likes","","","","","high","Escuela Montessori Carmen Pilar Santos Cruz, Humacao PR"
"Casa Dei Bambini Montessori School – Telfair","United States","https://www.facebook.com/Telfair.Riverstone/","","","","","","high","Casa Dei Bambini Montessori Texas, Sugar Land TX Telfair location"
"Casa Dei Bambini – Riverstone","United States","https://www.facebook.com/Cdbriverstone/","","","","","","high","Missouri City TX - found incidentally in same search as Telfair"
"Casa Del Arbol Kinder Montessori","Mexico","","","","","","","none","Santiago de Queretaro - only found Casa del Arbol Montessori in Morelia (different city); no match for Queretaro"
