"school_name","country","facebook_url","fb_activity","instagram_url","linkedin_url","x_url","email_found_incidentally","confidence","notes"
"押立第二保育園分園","Japan","","","","","","","none","No FB found; distinct from 押立保育園(main) page, name mismatch (missing 第二)"
"押立第二保育園本園","Japan","","","","","","","none","Found 押立保育園 FB page (no 第二) - name mismatch, not confirmed as same entity"
"掛川聖マリア保育園","Japan","","","","","","","none","No FB found"
"新宮保育園","Japan","","","","","","","none","No FB found for Takayama location"
"新玉幼稚園","Japan","","","","","","","none","No FB found; only unrelated 玉造幼稚園/玉幼稚園 pages"
"新田保育園","Japan","","","","","","","none","FB match found is for Anjo-city school, not Sasebo"
"日向和田保育園","Japan","","","","","","","none","No FB found"
"日本モンテッソーリ教育綜合研究所附属「子どもの家」","Japan","","","https://www.instagram.com/montessori_fuzokukodomonoie/","","","","none","No FB; Instagram confirmed official"
"日永ハートピア保育園","Japan","","","","","","","none","No FB found"
"日高幼稚園","Japan","https://www.facebook.com/pages/%E6%97%A5%E9%AB%98%E5%B9%BC%E7%A8%9A%E5%9C%92/1253353328047737/","unknown","","","","","medium","Exact name match, single result, location not confirmed in snippet"
"早稲田フロンティアキッズクラブ","Japan","https://www.facebook.com/p/%E3%83%95%E3%83%AD%E3%83%B3%E3%83%86%E3%82%A3%E3%82%A2%E3%82%AD%E3%83%83%E3%82%BA-100057588543227/","unknown","","","","","high","Address confirmed 新宿区西早稲田 matches school location"
"早稲田モンテッソーリ学園","Japan","https://www.facebook.com/people/%E6%97%A9%E7%A8%B2%E7%94%B0%E3%83%A2%E3%83%B3%E3%83%86%E3%83%83%E3%82%BD%E3%83%BC%E3%83%AA%E5%AD%A6%E5%9C%92/100063974054190/","unknown","","","","","high","Confirmed Shinjuku-ku Tokyo, Waseda area Montessori school for ages 2.5-6"
"旭たちばな幼稚園","Japan","","","","","","","none","No FB found"
"旭保育園","Japan","","","","","","","none","FB page found but no location confirmation, common name"
"旭川しらゆり幼稚園","Japan","","","","","","","none","No confirmed FB; generic しらゆり幼稚園 page not verified as this branch"
"旭川藤幼稚園","Japan","https://www.facebook.com/61559966482139","unknown","","","","","high","Confirmed phone +81 166-51-2972 and website www-7.potato.ne.jp/~sr-fuji matches Asahikawa Fuji Kindergarten"
"明星こども園","Japan","","","","","","","none","No FB found"
"明星幼稚園","Japan","","","","","","","none","Multiple 明星幼稚園 pages exist (Tokyo, Miyazaki, etc.) none confirmed as Yamaguchi-shi"
"星のしずく保育園","Japan","https://www.facebook.com/p/%E6%98%9F%E3%81%AE%E3%81%97%E3%81%9A%E3%81%8F%E4%BF%9D%E8%82%B2%E5%9C%92-NICO-100063639814713/?locale=pt_PT","unknown","","","","","high","Exact match '星のしずく保育園 & NICO', location context Nago City Okinawa matches"
"星のしずく保育園分園 ニコ","Japan","https://www.facebook.com/p/%E6%98%9F%E3%81%AE%E3%81%97%E3%81%9A%E3%81%8F%E4%BF%9D%E8%82%B2%E5%9C%92-NICO-100063639814713/?locale=pt_PT","unknown","","","","","high","Same page as main branch, page name includes 'NICO' matching this branch name"
"星和幼稚園","Japan","","","","","","","none","No FB found; only unrelated 星条幼稚園 page"
"春日幼児園","Japan","","","","","","","none","No FB found"
"春日荘聖マリア幼稚園","Japan","https://www.facebook.com/pages/%E6%98%A5%E6%97%A5%E8%8D%98%E8%81%96%E3%83%9E%E3%83%AA%E3%82%A2%E5%B9%BC%E7%A8%9A%E5%9C%92/619977998052206/","unknown","","","","","high","Exact unique name match"
"昭苑こども園","Japan","https://www.facebook.com/shoenkodomoen/","active","","","","","high","Confirmed 学校法人堀口学園 昭苑こども園, located Shisui-machi, Inba-gun matches"
"暁の星幼稚園","Japan","","","","","","","none","Ambiguous - multiple 暁の星幼稚園 branches (Matsue, Hiroshima) exist; Shimonoseki-shi branch not confirmed"
"暁の星幼稚園","Japan","","","","","","","none","Ambiguous - multiple 暁の星幼稚園 branches exist; Koga-shi branch not confirmed"
"月見ヶ丘こどもの家","Japan","","","","","","","none","No FB found"
"木の実幼稚園","Japan","https://www.facebook.com/p/%E5%AD%A6%E6%A0%A1%E6%B3%95%E4%BA%BA%E6%9C%A8%E3%81%AE%E5%AE%9F%E5%AD%A6%E5%9C%92-%E6%9C%A8%E3%81%AE%E5%AE%9F%E5%B9%BC%E7%A8%9A%E5%9C%92-100034819342023/","active","","","","","high","Confirmed Funabashi-shi, posts reference Andersen Park (船橋市 landmark)"
"本千葉エンゼルホーム保育園","Japan","","","","https://www.instagram.com/childtime_honchiba/","","","none","No FB found; Instagram confirmed"
"本母保育園","Japan","https://www.facebook.com/pages/%E6%9C%AC%E6%AF%8D%E4%BF%9D%E8%82%B2%E5%9C%92/188227278353996/","unknown","","","","","high","Unique name, single result, Takayama Gifu context confirmed"
"本渡ふたば保育園","Japan","","","","","","","none","No FB found"
"本渡カトリック聖心幼稚園","Japan","","","","","","","none","No FB found"
"札幌モンテッソーリこどものいえ","Japan","","","","","","","none","No FB found"
"札幌モンテッソーリこどもの家 南一条","Japan","","","","","","","none","No FB found"
"札幌天使幼稚園","Japan","","","https://www.instagram.com/sapporo_tenshi/","","","","none","No FB found; Instagram confirmed official"
"杉の木台こども園","Japan","","","","","","","none","No FB found"
"杉並和泉のチャイルドルーム HOME SWEET HOME","Japan","","","https://www.instagram.com/childroom_home_sweet_home/","","","","none","No matching FB page found (generic Home Sweet Home pages unrelated); Instagram confirmed"
