school,email,country,notes
Beyond Montessori,info@beyondmontessori.org,United States,"Dublin CA, private"
Private Montessori-Schule Wertingen,sekretariat@montessori-wertingen.de,Germany,Bayern
Nexus Early Learning,heidelberg@nexusel.com,Australia,VIC
Tweede Montessorischool Het Winterkoninkje,info@winterkoninkje.nl,Netherlands,Amsterdam
Primaria (statale) IC di Susegana,tvic85200c@istruzione.it,Italy,"Treviso, state school"
Casa dei bambini e Primaria di Via Sturzo (Statale),miic8fk00p@istruzione.it,Italy,"Milano/Cornaredo, state school"
Josefschule Krefeld,josefschule@schulen.krefeld.de,Germany,NRW Grundschule
Les Petites Souris de Montessori Pontoise,lespetitessourisdemontessori@gmail.com,France,Val-d'Oise
JPS Montessori Center,bradley.jayne@jpsk12.org,United States,"Jackson MI, public"
Espace Maria Montessori Angers (EMMA),espacemariamontessori@gmail.com,France,Maine-et-Loire
Earth Child Montessori School,earthchildms@gmail.com,United States,"MISLABELED: likely Richmond BC Canada"
Ray Jacobs Boarding School,info@rayjacobsschool.com,United States,"MISLABELED: Mgbidi = Nigeria"
The Beehive Montessori School,principal@beehive.wa.edu.au,Australia,"WA, Mosman Park"
Indigo Montessori Child Care and Kindy (Tuart Hill),tuarthill@indigomontessori.com.au,Australia,"WA, Tuart Hill"
Montessori La Baleine,contact@montessori-la-baleine.com,France,Paris 13e
Casa dei bambini - plesso Via dei Mille (Statale),mcic83600n@istruzione.it,Italy,Macerata/Civitanova Marche
IC di Montegrotto Terme Primaria (Statale),pdic866008@istruzione.it,Italy,"PD, Montegrotto Terme"
Montessori Academy of London,mwhitley0110@gmail.com,United States,"MISLABELED: London ON Canada (montessori.on.ca)"
Creative Montessori Academy,jessicabeaudrie@choiceschools.com,United States,"Southgate MI, public"
Pioneers Early Learning Centre 1,madhur.samadhiya@gmail.com,Australia,"VIC, Melbourne"
Heads Up! Child Development Center-San Jose,sjcdc@headsup.org,United States,"San Jose CA, private"
Naíonra Eiscir,fdcarr@hotmail.com,Ireland,"Lucan Dublin — shared email across multiple listed schools, sent once"
Applegarden Montessori School,applegardenschool@gmail.com,United States,"Oakland CA, private"
Juan Ponce de Leon,liselym@yahoo.com,United States,"Guaynabo, Puerto Rico, public"
Ridgemoor Park Montessori,reyersj@grps.org,United States,"Grand Rapids MI, public"
